epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4862,1.44696,2.65318,1.60341,0.00805,0.90909,0.32313,0.14423,1.34295,2.78519,1.52943,0.00014,0.00014,0.00014
2,18.6694,1.29335,1.97506,1.45686,0.68085,0.33254,0.47392,0.23904,1.29075,2.50084,1.5093,0.00029406,0.00029406,0.00029406
3,22.5551,1.22334,1.52848,1.39086,0.57502,0.2987,0.40488,0.2038,1.35805,2.48061,1.61421,0.000441784,0.000441784,0.000441784
4,25.8865,1.21502,1.44545,1.40533,0.50115,0.39143,0.36779,0.1869,1.53605,2.37881,1.70546,0.000583172,0.000583172,0.000583172
5,28.3569,1.20997,1.41025,1.39905,0.38542,0.38961,0.29871,0.12222,1.89903,2.36957,2.00543,0.000718224,0.000718224,0.000718224
6,30.8515,1.2635,1.43809,1.40948,0.4056,0.49351,0.3746,0.16925,1.63944,2.15464,1.83937,0.00084694,0.00084694,0.00084694
7,33.4216,1.23688,1.38792,1.42967,0.49116,0.42857,0.35919,0.16189,1.56376,2.36387,1.69219,0.00096932,0.00096932,0.00096932
8,37.2368,1.21112,1.36186,1.39595,0.30866,0.32471,0.2379,0.1157,1.70691,2.50424,1.91637,0.00108536,0.00108536,0.00108536
9,40.5387,1.21475,1.28305,1.38071,0.43843,0.38961,0.29621,0.13704,1.6966,2.37475,1.91143,0.00119507,0.00119507,0.00119507
10,42.9934,1.21771,1.28537,1.38248,0.35403,0.32468,0.2222,0.09438,1.76685,2.5376,2.04973,0.00129844,0.00129844,0.00129844
11,45.5254,1.20459,1.30457,1.40906,0.37571,0.32468,0.2793,0.12486,1.83473,2.40589,2.01432,0.00139548,0.00139548,0.00139548
12,47.9357,1.12383,1.25481,1.33596,0.62683,0.37093,0.42423,0.19273,1.85438,2.17308,1.97567,0.00148618,0.00148618,0.00148618
13,51.0016,1.17712,1.2008,1.34897,0.714,0.2919,0.3476,0.1423,1.87975,2.31045,2.02548,0.0015248,0.0015248,0.0015248
14,54.9772,1.18044,1.165,1.35489,0.60341,0.23377,0.26934,0.11953,1.8751,2.62126,2.09548,0.0014852,0.0014852,0.0014852
15,57.6248,1.17897,1.18833,1.35226,0.47796,0.42807,0.34319,0.17985,1.7355,2.43107,1.97654,0.0014456,0.0014456,0.0014456
16,59.8286,1.16364,1.14196,1.32258,0.62432,0.36364,0.378,0.17562,1.78316,2.56214,2.10868,0.001406,0.001406,0.001406
17,62.4828,1.16238,1.17228,1.33841,0.48853,0.2729,0.26989,0.11644,2.02997,2.65536,2.32562,0.0013664,0.0013664,0.0013664
18,64.8786,1.13715,1.14166,1.34331,0.56223,0.45455,0.3766,0.17987,1.9435,2.22502,2.35591,0.0013268,0.0013268,0.0013268
19,68.6789,1.11749,1.05414,1.32159,0.52183,0.42857,0.38504,0.18004,1.81917,2.28408,2.07647,0.0012872,0.0012872,0.0012872
20,72.0489,1.14145,1.09796,1.33169,0.45128,0.49134,0.39122,0.1754,1.87672,2.27983,2.0643,0.0012476,0.0012476,0.0012476
21,74.4973,1.10929,1.07071,1.283,0.52196,0.49351,0.43497,0.22124,1.67678,1.96263,1.92726,0.001208,0.001208,0.001208
22,76.8643,1.03842,1.02596,1.27683,0.49421,0.55844,0.47073,0.21355,1.72203,1.90965,1.96452,0.0011684,0.0011684,0.0011684
23,79.3873,1.05307,0.95979,1.26249,0.51101,0.5974,0.44629,0.21193,1.7399,1.85127,1.92143,0.0011288,0.0011288,0.0011288
24,82.6512,1.02184,0.91484,1.23814,0.51687,0.45455,0.44508,0.23608,1.61826,1.814,1.77724,0.0010892,0.0010892,0.0010892
25,86.2523,1.02705,1.00907,1.26419,0.57605,0.45455,0.47351,0.24361,1.5914,1.91677,1.70769,0.0010496,0.0010496,0.0010496
26,88.768,1.0474,0.99652,1.27368,0.61103,0.57123,0.51591,0.24681,1.66664,1.72297,1.78625,0.00101,0.00101,0.00101
27,91.1551,0.98625,0.9266,1.26082,0.6093,0.5974,0.55285,0.26202,1.77098,1.63503,1.82283,0.0009704,0.0009704,0.0009704
28,93.7351,1.03187,0.91973,1.22069,0.52966,0.62338,0.50241,0.24659,1.78121,1.61956,1.86665,0.0009308,0.0009308,0.0009308
29,96.2857,0.97117,0.90115,1.2372,0.5247,0.61651,0.52073,0.25551,1.79801,1.60918,1.8927,0.0008912,0.0008912,0.0008912
30,99.7282,0.97238,0.88728,1.21885,0.67144,0.5974,0.55409,0.28186,1.65905,1.65925,1.77446,0.0008516,0.0008516,0.0008516
31,102.936,1.02571,0.9099,1.25776,0.68005,0.49692,0.55666,0.31059,1.56902,1.62496,1.68644,0.000812,0.000812,0.000812
32,105.252,0.94404,0.87207,1.22274,0.53234,0.66234,0.56824,0.30541,1.61895,1.58782,1.73,0.0007724,0.0007724,0.0007724
33,107.798,0.92004,0.82417,1.19111,0.69411,0.53247,0.61435,0.34583,1.54597,1.5173,1.71198,0.0007328,0.0007328,0.0007328
34,110.286,0.93648,0.86013,1.18718,0.61578,0.52036,0.57864,0.31716,1.53893,1.53782,1.66069,0.0006932,0.0006932,0.0006932
35,113.566,0.9082,0.83457,1.18597,0.54726,0.63636,0.5321,0.28678,1.57546,1.6229,1.67435,0.0006536,0.0006536,0.0006536
36,117.196,0.87721,0.7925,1.1484,0.68965,0.53247,0.53987,0.29596,1.53799,1.56081,1.66704,0.000614,0.000614,0.000614
37,119.784,0.90359,0.78857,1.16589,0.58826,0.63636,0.58228,0.32637,1.53127,1.51025,1.68564,0.0005744,0.0005744,0.0005744
38,122.16,0.85293,0.764,1.14278,0.64961,0.62604,0.62354,0.34582,1.53797,1.43297,1.71984,0.0005348,0.0005348,0.0005348
39,124.49,0.86764,0.76976,1.16289,0.71485,0.58442,0.60924,0.35263,1.52147,1.41799,1.68096,0.0004952,0.0004952,0.0004952
40,128.142,0.81559,0.72055,1.12582,0.64621,0.58442,0.60056,0.34531,1.52473,1.51444,1.64988,0.0004556,0.0004556,0.0004556
41,133.636,0.81247,0.99473,1.15273,0.77707,0.49802,0.59886,0.34512,1.49848,1.63517,1.63896,0.000416,0.000416,0.000416
42,136.235,0.78431,0.8847,1.10271,0.66725,0.49483,0.54334,0.30009,1.57965,1.82502,1.75216,0.0003764,0.0003764,0.0003764
43,138.987,0.80276,0.82533,1.13083,0.66454,0.55844,0.57396,0.30984,1.55026,1.83122,1.7369,0.0003368,0.0003368,0.0003368
44,141.436,0.73031,0.75984,1.08942,0.69339,0.53247,0.57413,0.30419,1.51081,1.68798,1.721,0.0002972,0.0002972,0.0002972
45,145.1,0.70766,0.72904,1.0503,0.77239,0.49351,0.56787,0.32683,1.44614,1.58739,1.66384,0.0002576,0.0002576,0.0002576
46,147.75,0.68949,0.7045,1.05938,0.78071,0.49351,0.55334,0.33017,1.43798,1.59288,1.65464,0.000218,0.000218,0.000218
47,149.958,0.68141,0.67028,1.06377,0.73539,0.50531,0.54811,0.3195,1.45126,1.66698,1.65401,0.0001784,0.0001784,0.0001784
48,152.154,0.67795,0.69079,1.06013,0.71128,0.55844,0.60267,0.32326,1.45876,1.63205,1.64898,0.0001388,0.0001388,0.0001388
49,154.402,0.63775,0.70547,1.03392,0.74447,0.57143,0.61305,0.31827,1.46426,1.58132,1.65507,9.92e-05,9.92e-05,9.92e-05
50,156.821,0.64471,0.63924,1.0399,0.71397,0.54545,0.59377,0.32344,1.47317,1.545,1.66116,5.96e-05,5.96e-05,5.96e-05
